,Código IBGE,UF,MUNICiPIO,CoDIGO_NACIONAL
303,5201702,GO,ARAGARÇAS,64
304,5201603,GO,ARAÇU,62
305,5201504,GO,APORÉ,64
306,5201454,GO,APARECIDA DO RIO DOCE,64
307,5201405,GO,APARECIDA DE GOIÂNIA,62
308,5201306,GO,ANICUNS,64
309,5201207,GO,ANHANGUERA,64
310,5201108,GO,ANÁPOLIS,62
311,5200902,GO,AMORINÓPOLIS,64
312,5200852,GO,AMERICANO DO BRASIL,64
313,5200829,GO,AMARALINA,62
314,5200803,GO,ALVORADA DO NORTE,62
315,5200605,GO,ALTO PARAÍSO DE GOIÁS,62
316,5200555,GO,ALTO HORIZONTE,62
317,5200506,GO,ALOÂNDIA,64
318,5200308,GO,ALEXÂNIA,62
319,5200258,GO,ÁGUAS LINDAS DE GOIÁS,61
320,5200209,GO,ÁGUA LIMPA,64
321,5200175,GO,ÁGUA FRIA DE GOIÁS,62
322,5200159,GO,ADELÂNDIA,64
323,5200134,GO,ACREÚNA,64
324,5200100,GO,ABADIÂNIA,62
325,5200050,GO,ABADIA DE GOIÁS,62
326,5108956,MT,NOVA MONTE VERDE,66
327,5108907,MT,NOVA MARINGÁ,66
328,5108857,MT,NOVA MARILÂNDIA,65
329,5108808,MT,NOVA GUARITA,66
330,5108600,MT,VILA RICA,66
331,5108501,MT,VERA,66
332,5108402,MT,VÁRZEA GRANDE,65
333,5108352,MT,VALE DE SÃO DOMINGOS,65
334,5108303,MT,UNIÃO DO SUL,66
335,5108204,MT,TORIXORÉU,66
336,5108105,MT,TESOURO,66
337,5108055,MT,TERRA NOVA DO NORTE,66
338,5108006,MT,TAPURAH,66
339,5107958,MT,TANGARÁ DA SERRA,65
340,5107941,MT,TABAPORÃ,66
341,5107925,MT,SORRISO,66
342,5107909,MT,SINOP,66
343,5107883,MT,SERRA NOVA DOURADA,66
344,5107875,MT,SAPEZAL,65
345,5107859,MT,SÃO FÉLIX DO ARAGUAIA,66
346,5107800,MT,SANTO ANTÔNIO DO LEVERGER,65
347,5107776,MT,SANTA TEREZINHA,66
348,5107768,MT,SANTA RITA DO TRIVELATO,65
349,5107750,MT,SALTO DO CÉU,65
350,5107743,MT,SANTA CRUZ DO XINGU,66
351,5107701,MT,ROSÁRIO OESTE,65
352,5107602,MT,RONDONÓPOLIS,66
353,5107404,MT,SÃO PEDRO DA CIPA,66
354,5107354,MT,SÃO JOSÉ DO XINGU,66
355,5107305,MT,SÃO JOSÉ DO RIO CLARO,65
356,5107297,MT,SÃO JOSÉ DO POVO,66
357,5107263,MT,SANTO AFONSO,65
358,5107248,MT,SANTA CARMEM,66
359,5107206,MT,RIO BRANCO,65
360,5107198,MT,RIBEIRÃOZINHO,66
361,5107180,MT,RIBEIRÃO CASCALHEIRA,66
362,5107156,MT,RESERVA DO CABAÇAL,65
